Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,664,1203,6,7416,1390.27,11.145%,76.34817,31.35,10.07,420.5
/user_info_2,590,1219,6,7415,1023.32,11.017%,68.35824,41.00,46.71,614.1
/user_info_3,530,1324,32,6165,1009.50,10.566%,61.99556,30.08,42.57,496.9
/object_info_1,482,1301,8,5886,923.23,8.091%,57.00095,21.94,8.49,394.1
/object_info_2,443,1197,9,5164,854.31,18.510%,53.17489,40.17,7.07,773.6
/object_info_3,361,965,17,7355,771.57,30.194%,43.73107,42.00,4.98,983.5
/object_info_4,252,893,1,3699,663.90,34.921%,30.89371,30.11,3.28,998.1
TOTAL,3322,1189,1,7416,1034.92,15.443%,381.83908,229.45,121.06,615.3
