Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/get_method,382,228,58,1137,293.02,2.094%,30.05035,6.16,4.37,209.8
/user_info_2,374,221,61,1387,285.24,0.267%,29.61203,11.26,22.69,389.5
/user_info_3,373,260,51,1200,327.02,2.681%,29.69036,9.32,22.17,321.5
/object_info_1,363,265,26,1200,334.81,1.928%,29.03535,7.19,4.62,253.4
/object_info_2,356,245,57,1380,320.02,2.528%,28.67730,12.22,4.56,436.4
/object_info_3,347,223,8,1196,290.38,2.594%,28.10855,10.65,4.47,387.8
/object_info_4,338,241,58,1287,309.50,1.775%,27.64600,6.56,4.43,242.8
TOTAL,2533,240,8,1387,309.46,1.974%,199.24487,62.20,66.41,319.7
